STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-01,,,0.02,0.4,0.0,,30.0,24.0,25.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-02,,,0.0,0.0,0.0,,36.0,25.0,30.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-03,,,0.0,0.0,0.0,,32.0,28.0,28.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-04,,,0.02,0.7,1.0,,28.0,19.0,19.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-05,,,0.0,0.0,0.0,,29.0,9.0,24.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-06,,,0.0,0.0,0.0,,38.0,17.0,32.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-07,,,0.0,0.0,0.0,,44.0,26.0,38.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-08,,,0.16,0.0,0.0,,38.0,29.0,36.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-09,,,0.18,0.0,0.0,,48.0,36.0,42.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-10,,,0.51,3.2,3.0,,44.0,19.0,19.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-11,,,0.03,0.7,3.0,,19.0,9.0,11.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-12,,,0.25,3.1,6.0,,24.0,11.0,18.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-13,,,0.03,0.3,5.0,,19.0,11.0,11.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-14,,,0.06,0.9,5.0,,36.0,11.0,32.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-15,,,0.13,0.0,2.0,,41.0,24.0,37.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-16,,,0.1,0.0,1.0,,37.0,28.0,28.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-17,,,0.02,0.5,1.0,,29.0,10.0,10.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-18,,,0.02,0.3,1.0,,15.0,6.0,12.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-19,,,0.01,0.1,1.0,,23.0,6.0,18.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-20,,,0.02,0.3,1.0,,20.0,11.0,18.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-21,,,0.0,0.1,1.0,,26.0,12.0,25.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-22,,,0.01,0.3,1.0,,28.0,22.0,24.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-23,,,0.0,0.0,1.0,,31.0,17.0,26.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-24,,,0.0,0.0,1.0,,35.0,18.0,32.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-25,,,0.0,0.0,0.0,,43.0,26.0,41.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-26,,,0.03,0.0,0.0,,43.0,32.0,33.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-27,,,0.03,0.5,0.0,,33.0,26.0,26.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-28,,,0.03,0.5,0.0,,37.0,25.0,33.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-29,,,0.03,0.3,0.0,,33.0,22.0,26.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-30,,,0.0,0.0,0.0,,51.0,22.0,44.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-01-31,,,0.11,0.0,0.0,,50.0,34.0,49.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-01,,,0.09,0.0,0.0,,49.0,31.0,40.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-02,,,0.12,0.0,0.0,,40.0,26.0,35.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-03,,,0.35,0.0,0.0,,53.0,34.0,38.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-04,,,0.06,0.8,0.0,,38.0,28.0,28.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-05,,,0.0,0.0,0.0,,39.0,18.0,35.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-06,,,0.0,0.1,0.0,,39.0,24.0,34.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-07,,,0.0,0.0,0.0,,47.0,28.0,45.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-08,,,0.02,0.1,0.0,,45.0,32.0,35.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-09,,,0.14,1.8,2.0,,35.0,26.0,26.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-10,,,0.03,0.7,1.0,,26.0,18.0,18.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-11,,,0.01,0.1,1.0,,22.0,7.0,17.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-12,,,0.04,0.7,2.0,,23.0,11.0,16.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-13,,,0.01,0.3,2.0,,17.0,1.0,12.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-14,,,0.0,0.0,1.0,,18.0,-1.0,15.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-15,,,0.05,0.5,2.0,,27.0,14.0,27.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-16,,,0.0,0.0,2.0,,29.0,26.0,28.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-17,,,0.09,1.1,2.0,,34.0,26.0,26.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-18,,,0.0,0.0,1.0,,32.0,12.0,28.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-19,,,0.0,0.0,0.0,,60.0,27.0,55.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-20,,,0.0,0.0,0.0,,61.0,41.0,50.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-21,,,0.0,0.0,0.0,,50.0,31.0,38.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-22,,,0.0,0.0,0.0,,38.0,26.0,34.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-23,,,0.0,0.0,0.0,,43.0,22.0,38.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-24,,,0.93,5.8,6.0,,38.0,30.0,32.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-25,,,0.39,4.3,9.0,,34.0,27.0,27.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-26,,,0.01,0.1,8.0,,33.0,23.0,29.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-27,,,0.0,0.0,6.0,,44.0,25.0,40.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-28,,,0.0,0.0,1.0,,62.0,36.0,59.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-02-29,,,0.23,0.0,0.0,,59.0,30.0,42.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-01,,,0.26,1.7,1.0,,42.0,21.0,24.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-02,,,0.16,2.1,3.0,,28.0,15.0,25.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-03,,,0.04,1.0,3.0,,30.0,15.0,27.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-04,,,0.12,1.6,3.0,,37.0,22.0,31.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-05,,,0.2,2.4,5.0,,33.0,25.0,32.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-06,,,0.0,0.0,4.0,,35.0,22.0,33.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-07,,,0.0,0.0,0.0,,60.0,32.0,55.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-08,,,0.0,0.0,0.0,,70.0,50.0,66.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-09,,,0.0,0.0,0.0,,68.0,52.0,65.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-10,,,0.04,0.0,0.0,,65.0,48.0,48.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-11,,,0.0,0.0,0.0,,55.0,36.0,46.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-12,,,0.0,0.0,0.0,,60.0,29.0,57.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-13,,,0.69,0.0,0.0,,57.0,42.0,42.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-14,,,0.19,0.0,0.0,,61.0,42.0,59.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-15,,,0.0,0.0,0.0,,59.0,46.0,50.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-16,,,0.14,0.0,0.0,,59.0,42.0,57.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-17,,,0.0,0.0,0.0,,57.0,41.0,50.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-18,,,0.0,0.0,0.0,,50.0,30.0,43.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-19,,,0.0,0.0,0.0,,43.0,26.0,38.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-20,,,0.0,0.0,0.0,,45.0,24.0,42.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-21,,,0.0,0.0,0.0,,45.0,27.0,42.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-22,,,0.0,0.0,0.0,,62.0,29.0,60.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-23,,,0.0,0.0,0.0,,60.0,39.0,39.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-24,,,1.1,0.0,0.0,,56.0,36.0,55.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-25,,,0.02,0.1,0.0,,55.0,27.0,42.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-26,,,0.0,0.0,0.0,,48.0,26.0,47.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-27,,,0.0,0.0,0.0,,68.0,30.0,64.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-28,,,0.56,0.0,0.0,,64.0,41.0,44.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-29,,,0.0,0.0,0.0,,52.0,30.0,50.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-30,,,0.0,0.0,0.0,,60.0,31.0,58.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-03-31,,,0.6,0.0,0.0,,62.0,53.0,62.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-04-01,,,0.25,0.0,0.0,,63.0,40.0,50.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-04-02,,,0.16,1.0,0.0,,50.0,32.0,32.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-04-03,,,0.05,0.7,0.0,,47.0,21.0,47.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-04-04,,,0.04,0.0,0.0,,48.0,28.0,32.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-04-05,,,0.0,0.0,0.0,,40.0,17.0,38.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-04-06,,,0.1,0.2,0.0,,51.0,30.0,51.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-04-07,,,0.17,0.1,0.0,,51.0,34.0,34.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-04-08,,,0.02,0.2,0.0,,40.0,26.0,36.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-04-09,,,0.08,1.1,0.0,,36.0,24.0,31.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-04-10,,,0.3,0.3,0.0,,32.0,23.0,32.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-04-11,,,0.25,0.0,0.0,,58.0,32.0,47.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-04-12,,,0.0,0.0,0.0,,48.0,30.0,46.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-04-13,,,0.0,0.0,0.0,,51.0,32.0,46.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-04-14,,,0.0,0.0,0.0,,59.0,31.0,55.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-04-15,,,0.0,0.0,0.0,,68.0,34.0,66.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-04-16,,,0.0,0.0,0.0,,74.0,43.0,70.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-04-17,,,0.0,0.0,0.0,,78.0,44.0,74.0
USC00200230,"ANN ARBOR U OF MICH, MI US",2016-04-18,,,0.0,0.0,0.0,,83.0,46.0,79.0
