0,2916 Hammond,16001346.002L,Homrich,143000.0,Non-HHF,Yes,6,Central Southwest,42.324018,-83.111067
1,217 S Morrell,16010179,Smalley,11550.0,Non-HHF,No,6,Delray,42.306197999999995,-83.091528
2,3659 Oakman Blvd,16025187,Den-Man Contractors,69850.0,Non-HHF,Yes,7,Oakman Blvd Community,42.377966,-83.144602
3,20046 St Aubin,9015867,Smalley,9450.0,Non-HHF,No,3,Nolan,42.442302000000005,-83.081625
4,11031 SHOEMAKER,21003300,Smalley,140000.0,Non-HHF,Yes,4,West End,42.391059000000006,-82.988702
5,6781 Drake,15003465,Leadhead Construction,9898.0,Non-HHF,No,3,Grant,42.421228,-83.031867
6,1133 W Lantz,1007496,Gayanga Co,16898.0,Non-HHF,No,2,Penrose,42.436656,-83.11672
7,13510 Mitchell,9010840,Smalley,15430.0,Non-HHF,No,3,North Campau,42.41489,-83.068115
8,4800 Newport,21053920,Den-Man Contractors,36250.0,Non-HHF,Yes,4,Fox Creek,42.39322,-82.959988
9,5938 Eastlawn,21053109,Leadhead Construction,17750.0,Non-HHF,No,4,Chandler Park,42.401528000000006,-82.96638100000001
10,4325 PHILIP,21060582,Dore & Associates,28000.0,Non-HHF,No,4,Fox Creek,42.391332,-82.95408499999999
11,6754 W Fort,18000464,Smalley,23800.0,Non-HHF,No,6,Delray,42.304381,-83.1096
12,5528 Martin,18011033,Smalley,18500.0,Non-HHF,No,6,Claytown,42.338227,-83.13226800000001
13,4648 15th St,10005531-2,DMC Consultants,19105.0,Non-HHF,No,6,Core City,42.347003,-83.08662
14,19136 Runyon,17014616,Leadhead Construction,16150.0,Non-HHF,No,3,Pulaski,42.434987,-83.006546
15,3979 St Clair,21038965,"Adamo Group, Inc.",25750.0,Non-HHF,No,4,West End,42.378888,-82.989295
16,417 E State Fair,9008045,Dore & Associates,19200.0,Non-HHF,Yes,3,Nolan,42.439823,-83.09996
17,4462 33rd St,16012357,DMC Consultants,17850.0,Non-HHF,No,6,Chadsey Condon,42.336451000000004,-83.114124
18,5330 E Mcnichols,13007117,DMC Consultants,36265.0,Non-HHF,Yes,3,Davison,42.418702,-83.04892
19,2823 Rosa Parks Blvd,8008209,Dore & Associates,21200.0,Non-HHF,No,6,North Corktown,42.336141,-83.075014
20,3445 Devonshire,21070698,Smalley,37500.0,Non-HHF,No,4,Morningside,42.390683,-82.935099
21,3100 E Seven Mile,13008335-9,Den-Man Contractors,54650.0,Non-HHF,Yes,3,Conant Gardens,42.432757,-83.07050100000001
22,26181 W Outer Drive,20018839,DMC Consultants,14890.0,Non-HHF,No,6,Boynton,42.259794,-83.165767
23,8218 Edgewood,17001774,Gayanga Co,10900.0,Non-HHF,No,3,Airport Sub,42.397151,-83.018679
24,18656 Concord,15011139,Gayanga Co,13000.0,Non-HHF,No,3,Grant,42.431061,-83.032382
25,7139 Chicago,16004758-66,"Adamo Group, Inc.",75000.0,Non-HHF,Yes,6,Midwest,42.360141999999996,-83.14364
26,8142 E Hollywood,17004763,Leadhead Construction,15200.0,Non-HHF,No,3,Mount Olivet,42.43237,-83.02145
27,19140 Rogge,15006493,Gayanga Co,15100.0,Non-HHF,No,3,Nortown,42.434496,-83.029394
28,19360 Havana,1009493,Gayanga Co,17152.0,Non-HHF,No,2,Penrose,42.435117,-83.10999699999999
29,13927 Sussex,22046847,Gayanga Co,14225.0,Non-HHF,No,1,Cadillac Community,42.387598,-83.19536
30,3547 Somerset,21067609,Smalley,19900.0,Non-HHF,No,4,Morningside,42.389089,-82.94131800000001
31,1064 Fernhill,1007663,Gayanga Co,18072.0,Non-HHF,No,2,Penrose,42.43789,-83.115471
32,7901 Burdeno,18000168,Smalley,25500.0,Non-HHF,No,6,Delray,42.29322,-83.11327299999999
33,1075 Coplin,21051808-11,Homrich,183000.0,Non-HHF,Yes,4,Riverbend,42.371928999999994,-82.950271
34,1663 Blaine,8002334,Able Demolition,28078.0,Non-HHF,No,5,Herman Kiefer,42.373659,-83.095519
35,21164 Pickford,22015565,Dore & Associates,30000.0,Non-HHF,No,1,Holcomb Community,42.424528,-83.250825
36,20302 Charleston,09025071-2,Leadhead Construction,10600.0,Non-HHF,No,3,Nolan,42.443988,-83.106895
37,9715 Holmur,14006589,Able Demolition,12423.0,Non-HHF,No,7,Nardin Park,42.372399,-83.12276
38,14204 Linnhurst,21018449,DMC Consultants,33890.0,Non-HHF,No,4,Mapleridge,42.431093,-82.977034
39,3443 Liddesdale,20013415,Smalley,10350.0,Non-HHF,No,6,Boynton,42.261456,-83.162615
40,6720 Buhr,15003961,Gayanga Co,17100.0,Non-HHF,No,3,Grant,42.424402,-83.033156
41,1074 Coplin,21051237,Dore & Associates,35000.0,Non-HHF,No,4,Riverbend,42.372112,-82.949711
42,18212 Lauder,22042041,Dore & Associates,30000.0,Non-HHF,No,2,Winship,42.423728000000004,-83.191911
43,19373 Derby,1009001,Gayanga Co,16731.0,Non-HHF,No,2,Penrose,42.435324,-83.104485
44,5661 Addison St,20010950,Leadhead Construction,17170.0,Non-HHF,No,6,Claytown,42.331834,-83.152525
45,8435 Mt Elliott,13009675,Gayanga Co,32350.0,Non-HHF,Yes,5,Airport Sub,42.390193,-83.03771
46,4575 Joy Rd,14003378,"Adamo Group, Inc.",33250.0,Non-HHF,Yes,5,Petoskey-Otsego,42.366871,-83.125826
