Address,Parcel ID,Contractor Name,Price,Primary Funding Source,Demolition Date,Commercial Building,Council_District,Neighborhood,Latitude,Longitude
2916 Hammond,16001346.002L,Homrich,"143,000.00",Non-HHF,09/10/2018,Yes,6,Central Southwest,42.324018,-83.111067
217 S Morrell,16010179.,Smalley,"11,550.00",Non-HHF,09/21/2018,No,6,Delray,42.306197999999995,-83.091528
3659 Oakman Blvd,16025187.,Den-Man Contractors,"69,850.00",Non-HHF,09/07/2018,Yes,7,Oakman Blvd Community,42.377966,-83.144602
20046 St Aubin,09015867.,Smalley,"9,450.00",Non-HHF,08/09/2018,No,3,Nolan,42.442302000000005,-83.081625
11031 SHOEMAKER,21003300.001,Smalley,"140,000.00",Non-HHF,10/05/2018,Yes,4,West End,42.391059000000006,-82.988702
6781 Drake,15003465.,Leadhead Construction,"9,898.00",Non-HHF,07/31/2018,No,3,Grant,42.421228,-83.031867
1133 W Lantz,01007496.,Gayanga Co,"16,898.00",Non-HHF,10/09/2018,No,2,Penrose,42.436656,-83.11672
13510 Mitchell,09010840.,Smalley,"15,430.00",Non-HHF,10/11/2018,No,3,North Campau,42.41489,-83.068115
4800 Newport,21053920.,Den-Man Contractors,"36,250.00",Non-HHF,08/07/2018,Yes,4,Fox Creek,42.39322,-82.959988
5938 Eastlawn,21053109.,Leadhead Construction,"17,750.00",Non-HHF,07/27/2018,No,4,Chandler Park,42.401528000000006,-82.96638100000001
4325 PHILIP,21060582.,Dore & Associates,"28,000.00",Non-HHF,10/26/2018,No,4,Fox Creek,42.391332,-82.95408499999999
6754 W Fort,18000464.,Smalley,"23,800.00",Non-HHF,07/19/2018,No,6,Delray,42.304381,-83.1096
5528 Martin,18011033.,Smalley,"18,500.00",Non-HHF,07/11/2018,No,6,Claytown,42.338227,-83.13226800000001
4648 15th St,10005531-2,DMC Consultants,"19,105.00",Non-HHF,08/02/2018,No,6,Core City,42.347003,-83.08662
19136 Runyon,17014616.,Leadhead Construction,"16,150.00",Non-HHF,11/21/2018,No,3,Pulaski,42.434987,-83.006546
417 E State Fair,09008045.,Dore & Associates,"19,200.00",Non-HHF,09/07/2018,Yes,3,Nolan,42.439823,-83.09996
4462 33rd St,16012357.,DMC Consultants,"17,850.00",Non-HHF,07/23/2018,No,6,Chadsey Condon,42.336451000000004,-83.114124
5330 E Mcnichols,13007117.,DMC Consultants,"36,265.00",Non-HHF,07/26/2018,Yes,3,Davison,42.418702,-83.04892
3100 E Seven Mile,13008335-9,Den-Man Contractors,"54,650.00",Non-HHF,04/30/2018,Yes,3,Conant Gardens,42.432757,-83.07050100000001
26181 W Outer Drive,20018839.,DMC Consultants,"14,890.00",Non-HHF,04/17/2018,No,6,Boynton,42.259794,-83.165767
8218 Edgewood,17001774.,Gayanga Co,"10,900.00",Non-HHF,04/05/2018,No,3,Airport Sub,42.397151,-83.018679
18656 Concord,15011139.,Gayanga Co,"13,000.00",Non-HHF,03/29/2018,No,3,Grant,42.431061,-83.032382
8142 E Hollywood,17004763.,Leadhead Construction,"15,200.00",Non-HHF,11/01/2018,No,3,Mount Olivet,42.43237,-83.02145
19140 Rogge,15006493.,Gayanga Co,"15,100.00",Non-HHF,03/29/2018,No,3,Nortown,42.434496,-83.029394
19360 Havana,01009493.,Gayanga Co,"17,152.00",Non-HHF,10/09/2018,No,2,Penrose,42.435117,-83.10999699999999
13927 Sussex,22046847.,Gayanga Co,"14,225.00",Non-HHF,02/19/2018,No,1,Cadillac Community,42.387598,-83.19536
