Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,1028,1022,941,810,725,872,895,921,947,972,962,862,1053,1097,1067,1146,1173,1298,1311,1548,1637,1695,1893,1884,1877,1925
Albania,4350,3081,2877,3172,3457,3941,4326,3909,4434,4912,5305,5730,5913,6274,6672,7075,7476,7977,8644,8994,9374,9640,9811,9961,10160,10620
Algeria,10113,9748,9693,9279,9006,9168,9375,9322,9646,9810,9885,10203,10634,11251,11575,12077,12088,12289,12314,12285,12494,12606,12779,12893,13179,13434
Andorra,28417,28029,27218,26011,25907,26143,27180,29729,30819,31940,31662,31794,31866,34500,36330,39787,42738,43442,41426,41735,38982,41958,41926,43735,44929,46577
Angola,4232,4056,3656,2663,2669,2859,3091,3246,3376,3389,3387,3417,3759,3819,4087,4667,5445,6453,7103,7039,7047,7094,7230,7488,7546,7615
Antigua and Barbuda,17154,17361,17226,17753,18400,17167,17830,18186,18483,18780,19319,18388,18676,19566,20395,21414,24016,26008,25736,22389,20567,19988,20577,20353,20797,21049
Argentina,8539,9333,10130,10602,11108,10673,11150,11935,12268,11722,11504,10875,9574,10318,11135,12039,12913,13873,14646,14605,15765,16972,17101,17629,17519,17344
Armenia,3736,3329,1973,1842,1988,2169,2333,2438,2636,2740,2919,3214,3654,4182,4635,5297,6020,6877,7383,6358,6508,6812,7291,7527,7763,7763
Aruba,37014,38310,38238,38477,39318,38602,38003,40312,42565,42564,43703,42445,40288,39246,41057,40737,40209,40558,38594,35573,33288,36016,35419,36083,36447,37138
Australia,28604,28122,27895,28732,29580,30359,31145,32013,33085,34346,35253,35452,36375,37035,38130,38840,39416,40643,41312,41170,41330,41706,42522,42840,43219,44056
Austria,31053,31802,32113,32017,32660,33480,34237,34952,36157,37382,38548,38919,39370,39475,40292,40875,42036,43418,43952,42171,42861,44029,44216,44059,43906,44401
Azerbaijan,8513,8323,6346,4806,3808,3320,3329,3488,3801,4047,4459,4863,5338,5891,6435,8052,10711,13243,14365,15394,15950,15754,15888,16593,16710,16986
Bahamas,24281,22841,21555,21222,21516,22119,22758,22971,23799,25193,25858,26078,26260,25387,25073,25397,25530,25412,24373,22950,22915,22689,22841,22518,22439,22818
Bahrain,35398,38315,39854,43894,42712,43244,43781,43798,44399,44619,45063,44169,43654,43914,44206,44031,43358,43251,42507,40825,40553,40083,40732,42444,43963,44138
